date	tank_type	tier	tank	outcome	survived	map	damage_dealt	damage_spotting	damage_blocked	experience_earned	bonds_earned	kills	credits
18/10/2017	medium	8	FV4202	win	1	Arctic	2338	1216	710	1523	0	1	
18/10/2017	medium	7	T-43	win	1	Redshire	873	775	950	1169	0	1	
18/10/2017	heavy	10	T110E5	win	0	Lakeville	4233	1736	2700	1281	2	0	
18/10/2017	tank destroyer	7	T25/2	lost	0	Murovanka	0	0	300	103	0	0	
18/10/2017	tank destroyer	7	T25/2	win	0	El Halluf	583	0	0	698	0	1	
18/10/2017	medium	9	M46 Patton	lost	0	Pilsen	3148	574	490	708	0	0	
18/10/2017	tank destroyer	10	Jp Pz E100	lost	0	Nebelburg	1178	0	390	273	0	0	
18/10/2017	medium	10	M48 Patton	win	1	Kharkov	3105	0	1140	1163	2	1	
18/10/2017	tank destroyer	8	Rhm-B WT	lost	0	Steppes	507	102	0	268	0	0	
18/10/2017	heavy	10	T110E5	lost	0	Nebelburg	1176	263	320	475	0	0	
18/10/2017	light	9	AMX 13 90	win	0	Mines	238	460	0	821	3	0	
18/10/2017	medium	8	FV4202	win	1	Ensk	1644	1594	300	1608	0	1	
19/10/2017	heavy	10	T110E5	win	0	Nebelburg	2018	1372	750	1211	8	0	
19/10/2017	medium	7	T-43	win	1	Stalingrad	327	173	0	953	0	1	
19/10/2017	tank destroyer	7	T25/2	loss	0	Westfield	476	82	0	239	0	0	
19/10/2017	heavy	8	T34	loss	0	Swamp	0	790	193	291	0	0	
19/10/2017	SPG	8	M40/M43	win	1	Paris	452	0	0	786	0	1	
19/10/2017	heavy	10	T110E5	loss	0	Ruinberg	1244	209	0	300	0	0	
20/10/2017	tank destroyer	8	ISU-152	win	1	Lakeville	2806	0	0	1278	0	3	
20/10/2017	medium	8	FV4202	win	1	Abbey	1190	274	240	876	0	0	
20/10/2017	medium	7	T-43	loss	0	Murovanka	0	0	0	83	0	0	
20/10/2017	tank destroyer	5	Archer	loss	0	Westfield	276	0	0	143	0	0	
20/10/2017	tank destroyer	7	T25/2	loss	0	Highway	653	0	0	305	0	1	
20/10/2017	tank destroyer	5	Archer	loss	0	El Halluf	160	0	0	119	0	0	
21/10/2017	light	9	AMX 13 90	win	1	Redshire	1932	3440	0	1607	4	4	35633
21/10/2017	medium	8	FV4202	loss	0	Mountain Pass	890	0	390	267	0	0	18065
21/10/2017	light	9	AMX 13 90	win	0	Fjords	1393	1107	0	1107	0	1	14588
21/10/2017	medium	7	T-43	win	1	Malinovka	1590	220	892	1110	0	1	29289
21/10/2017	heavy	10	T110E5	draw	0	Nebelburg	1456	1264	400	615	4	1	-7528
21/10/2017	tank destroyer	7	T25/2	win	0	Ruinberg	213	16	0	603	0	0	4244
21/10/2017	tank destroyer	8	Rhm-B WT	win	1	Karelia	2218	0	0	1089	0	3	20740
21/10/2017	tank destroyer	5	Archer	loss	0	Swamp	317	993	0	446	0	2	11264
21/10/2017	SPG	8	M40/M43	loss	0	Stalingrad	192	154	0	233	0	0	-7033
21/10/2017	heavy	10	T110E5	win	0	Nebelburg	2469	1513	0	1211	8	0	-637
21/10/2017	medium	9	M46 Patton	loss	0	Redshire	2475	1871	0	717	0	1	11695
21/10/2017	tank destroyer	10	Jp Pz E100	win	1	Abbey	3297	0	0	1005	0	2	23455
21/10/2017	heavy	8	T34	win	1	El Halluf	1913	0	870	1206	0	1	39823
21/10/2017	medium	6	Strv 74	loss	0	Malinovka	175	191	240	189	0	0	3197
21/10/2017	medium	10	M48 Patton	loss	0	Ruinberg	1725	2066	800	488	0	1	-1628
21/10/2017	medium	8	T-54 mod.1	win	0	Sacred Valley	1451	1266	320	1350	0	1	60798
21/10/2017	tank destroyer	9	Jagtiger	win	1	Fishermans Bay	2252	1262	0	1320	0	2	21224
21/10/2017	medium	6	Strv 74	win	1	Lakeville	1111	98	0	939	0	1	18636
21/10/2017	medium	10	M48 Patton	loss	1	Airfield	1140	338	0	305	0	0	-9666
21/10/2017	medium	8	FV4202	loss	0	Fishermans Bay	0	0	0	94	0	0	8969
21/10/2017	SPG	9	M53/M55	loss	0	Prokhorovka	1321	0	0	308	0	1	-6225
21/10/2017	SPG	9	M53/M55	loss	0	Mountain Pass	591	1019	0	299	0	0	-5007
21/10/2017	medium	8	T-54 mod.1	loss	0	Pilsen	796	0	1600	386	0	1	20720
22/10/2017	medium	8	T-54 mod.1	win	0	Live Oaks	805	219	550	864	0	0	31802
22/10/2017	medium	6	Cromwell B	loss	0	Steppes	866	0	0	440	0	2	19910
22/10/2017	medium	8	T-54 mod.1	win	0	Sacred Valley	211	0	440	725	0	0	20657
22/10/2017	medium	6	Cromwell B	loss	0	Mines	147	753	0	305	0	0	15567
22/10/2017	medium	8	FV4202	loss	0	Himmelsdorf	1312	421	490	452	0	0	25578
22/10/2017	medium	8	T25 Pilot 1	loss	0	Airfield	1028	133	170	440	0	0	25296
22/10/2017	medium	8	T-54 mod.1	win	0	Lakeville	984	62	1200	957	0	0	29269
22/10/2017	heavy	8	T34	win	1	Erlenberg	1907	442	0	1191	0	1	48996
22/10/2017	medium	6	Cromwell B	loss	0	Fiery Salient	146	214	0	134	0	0	9060
22/10/2017	medium	8	T25 Pilot 1	loss	0	Sand River	710	694	240	471	3	0	35652
22/10/2017	heavy	8	T34	win	1	Redshire	2839	134	240	1374	0	0	45848
22/10/2017	medium	8	T-54 mod.1	win	1	El Halluf	1761	1210	0	1464	1	0	66325
22/10/2017	medium	8	T25 Pilot 1	win	0	Malinovka	1031	243	800	821	0	0	32714
22/10/2017	medium	8	T-54 mod.1	win	0	Murovanka	237	0	0	569	0	0	19361
22/10/2017	heavy	8	T34	win	0	Fishermans Bay	410	122	390	683	0	0	24437
