"","date","game_number","session","tank_type","tier","tank","outcome","survived","map","damage_dealt","damage_spotting","damage_blocked","experience_earned","bonds_earned","kills","credits"
"1",2017-10-18,1,1,"Medium",8,"FV4202","win",1,"Arctic",2338,1216,710,1523,0,1,0
"2",2017-10-18,2,1,"Medium",7,"T-43","win",1,"Redshire",873,775,950,1169,0,1,0
"3",2017-10-18,3,1,"Heavy",10,"T110E5","win",0,"Lakeville",4233,1736,2700,1281,2,0,0
"4",2017-10-18,4,1,"Tank Destroyer",7,"T25/2","lost",0,"Murovanka",0,0,300,103,0,0,0
"5",2017-10-18,5,1,"Tank Destroyer",7,"T25/2","win",0,"El Halluf",583,0,0,698,0,1,0
"6",2017-10-18,6,1,"Medium",9,"M46 Patton","lost",0,"Pilsen",3148,574,490,708,0,0,0
"7",2017-10-18,7,1,"Tank Destroyer",10,"Jp Pz E100","lost",0,"Nebelburg",1178,0,390,273,0,0,0
"8",2017-10-18,8,1,"Medium",10,"M48 Patton","win",1,"Kharkov",3105,0,1140,1163,2,1,0
"9",2017-10-18,9,1,"Tank Destroyer",8,"Rhm-B WT","lost",0,"Steppes",507,102,0,268,0,0,0
"10",2017-10-18,10,1,"Heavy",10,"T110E5","lost",0,"Nebelburg",1176,263,320,475,0,0,0
"11",2017-10-18,11,1,"Light",9,"AMX 13 90","win",0,"Mines",238,460,0,821,3,0,0
"12",2017-10-18,12,1,"Medium",8,"FV4202","win",1,"Ensk",1644,1594,300,1608,0,1,0
"13",2017-10-19,1,2,"Heavy",10,"T110E5","win",0,"Nebelburg",2018,1372,750,1211,8,0,0
"14",2017-10-19,2,2,"Medium",7,"T-43","win",1,"Stalingrad",327,173,0,953,0,1,0
"15",2017-10-19,3,2,"Tank Destroyer",7,"T25/2","loss",0,"Westfield",476,82,0,239,0,0,0
"16",2017-10-19,4,2,"Heavy",8,"T34","loss",0,"Swamp",0,790,193,291,0,0,0
"17",2017-10-19,5,2,"SPG",8,"M40/M43","win",1,"Paris",452,0,0,786,0,1,0
"18",2017-10-19,6,2,"Heavy",10,"T110E5","loss",0,"Ruinberg",1244,209,0,300,0,0,0
"19",2017-10-20,1,3,"Tank Destroyer",8,"ISU-152","win",1,"Lakeville",2806,0,0,1278,0,3,0
"20",2017-10-20,2,3,"Medium",8,"FV4202","win",1,"Abbey",1190,274,240,876,0,0,0
"21",2017-10-20,3,3,"Medium",7,"T-43","loss",0,"Murovanka",0,0,0,83,0,0,0
"22",2017-10-20,4,3,"Tank Destroyer",5,"Archer","loss",0,"Westfield",276,0,0,143,0,0,0
"23",2017-10-20,5,3,"Tank Destroyer",7,"T25/2","loss",0,"Highway",653,0,0,305,0,1,0
"24",2017-10-20,6,3,"Tank Destroyer",5,"Archer","loss",0,"El Halluf",160,0,0,119,0,0,0
"25",2017-10-21,1,4,"Light",9,"AMX 13 90","win",1,"Redshire",1932,3440,0,1607,4,4,35633
"26",2017-10-21,2,4,"Medium",8,"FV4202","loss",0,"Mountain Pass",890,0,390,267,0,0,18065
"27",2017-10-21,3,4,"Light",9,"AMX 13 90","win",0,"Fjords",1393,1107,0,1107,0,1,14588
"28",2017-10-21,4,4,"Medium",7,"T-43","win",1,"Malinovka",1590,220,892,1110,0,1,29289
"29",2017-10-21,5,4,"Heavy",10,"T110E5","draw",0,"Nebelburg",1456,1264,400,615,4,1,-7528
"30",2017-10-21,6,4,"Tank Destroyer",7,"T25/2","win",0,"Ruinberg",213,16,0,603,0,0,4244
"31",2017-10-21,7,4,"Tank Destroyer",8,"Rhm-B WT","win",1,"Karelia",2218,0,0,1089,0,3,20740
"32",2017-10-21,8,4,"Tank Destroyer",5,"Archer","loss",0,"Swamp",317,993,0,446,0,2,11264
"33",2017-10-21,9,4,"SPG",8,"M40/M43","loss",0,"Stalingrad",192,154,0,233,0,0,-7033
"34",2017-10-21,10,4,"Heavy",10,"T110E5","win",0,"Nebelburg",2469,1513,0,1211,8,0,-637
"35",2017-10-21,11,4,"Medium",9,"M46 Patton","loss",0,"Redshire",2475,1871,0,717,0,1,11695
"36",2017-10-21,12,4,"Tank Destroyer",10,"Jp Pz E100","win",1,"Abbey",3297,0,0,1005,0,2,23455
"37",2017-10-21,13,4,"Heavy",8,"T34","win",1,"El Halluf",1913,0,870,1206,0,1,39823
"38",2017-10-21,14,4,"Medium",6,"Strv 74","loss",0,"Malinovka",175,191,240,189,0,0,3197
"39",2017-10-21,15,4,"Medium",10,"M48 Patton","loss",0,"Ruinberg",1725,2066,800,488,0,1,-1628
"40",2017-10-21,16,4,"Medium",8,"T-54 mod.1","win",0,"Sacred Valley",1451,1266,320,1350,0,1,60798
"41",2017-10-21,17,4,"Tank Destroyer",9,"Jagtiger","win",1,"Fishermans Bay",2252,1262,0,1320,0,2,21224
"42",2017-10-21,18,4,"Medium",6,"Strv 74","win",1,"Lakeville",1111,98,0,939,0,1,18636
"43",2017-10-21,19,4,"Medium",10,"M48 Patton","loss",1,"Airfield",1140,338,0,305,0,0,-9666
"44",2017-10-21,20,4,"Medium",8,"FV4202","loss",0,"Fishermans Bay",0,0,0,94,0,0,8969
"45",2017-10-21,21,4,"SPG",9,"M53/M55","loss",0,"Prokhorovka",1321,0,0,308,0,1,-6225
"46",2017-10-21,22,4,"SPG",9,"M53/M55","loss",0,"Mountain Pass",591,1019,0,299,0,0,-5007
"47",2017-10-21,23,4,"Medium",8,"T-54 mod.1","loss",0,"Pilsen",796,0,1600,386,0,1,20720
"48",2017-10-22,1,5,"Medium",8,"T-54 mod.1","win",0,"Live Oaks",805,219,550,864,0,0,31802
"49",2017-10-22,2,5,"Medium",6,"Cromwell B","loss",0,"Steppes",866,0,0,440,0,2,19910
"50",2017-10-22,3,5,"Medium",8,"T-54 mod.1","win",0,"Sacred Valley",211,0,440,725,0,0,20657
"51",2017-10-22,4,5,"Medium",6,"Cromwell B","loss",0,"Mines",147,753,0,305,0,0,15567
"52",2017-10-22,5,5,"Medium",8,"FV4202","loss",0,"Himmelsdorf",1312,421,490,452,0,0,25578
"53",2017-10-22,6,5,"Medium",8,"T25 Pilot 1","loss",0,"Airfield",1028,133,170,440,0,0,25296
"54",2017-10-22,7,5,"Medium",8,"T-54 mod.1","win",0,"Lakeville",984,62,1200,957,0,0,29269
"55",2017-10-22,8,5,"Heavy",8,"T34","win",1,"Erlenberg",1907,442,0,1191,0,1,48996
"56",2017-10-22,9,5,"Medium",6,"Cromwell B","loss",0,"Fiery Salient",146,214,0,134,0,0,9060
"57",2017-10-22,10,5,"Medium",8,"T25 Pilot 1","loss",0,"Sand River",710,694,240,471,3,0,35652
"58",2017-10-22,11,5,"Heavy",8,"T34","win",1,"Redshire",2839,134,240,1374,0,0,45848
"59",2017-10-22,12,5,"Medium",8,"T-54 mod.1","win",1,"El Halluf",1761,1210,0,1464,1,0,66325
"60",2017-10-22,13,5,"Medium",8,"T25 Pilot 1","win",0,"Malinovka",1031,243,800,821,0,0,32714
"61",2017-10-22,14,5,"Medium",8,"T-54 mod.1","win",0,"Murovanka",237,0,0,569,0,0,19361
"62",2017-10-22,15,5,"Heavy",8,"T34","win",0,"Fishermans Bay",410,122,390,683,0,0,24437
"63",2017-10-22,16,5,"Medium",8,"FV4202","loss",0,"Pilsen",971,214,2610,621,0,0,11617
"64",2017-10-22,17,5,"Medium",8,"T25 Pilot 1","win",0,"Mines",475,403,0,890,0,0,16386
"65",2017-10-25,1,6,"Light",9,"AMX 13 90","loss",0,"Himelsdorf",1641,0,0,462,0,0,6583
"66",2017-10-25,2,6,"Medium",7,"T-43","win",1,"Murovanka",2009,546,440,1182,0,2,24181
"67",2017-10-25,3,6,"SPG",8,"M40/M43","win",0,"Airfield",850,1342,0,854,0,0,5340
"68",2017-10-25,4,6,"Tank Destroyer",10,"Jp Pz E100","win",1,"Nebelburg",1424,891,2160,1185,8,2,-5666
"69",2017-10-28,1,7,"Heavy",10,"T110E5","lost",0,"Swamp",2221,0,2310,375,0,1,-5605
"70",2017-10-28,2,7,"Tank Destroyer",7,"T25/2","draw",0,"Sacred Valley",250,0,0,261,0,0,1034
"71",2017-10-28,3,7,"Tank Destroyer",8,"Rhm-B WT","loss",0,"Lakeville",491,105,0,264,0,0,-1488
"72",2017-10-28,4,7,"Light",9,"AMX 13 90","loss",0,"Stalingrad",1726,0,0,503,0,1,3247
"73",2017-10-28,5,7,"Medium",8,"T-54 mod.1","win",0,"El Halluf",1447,1143,1270,1287,0,1,59691
"74",2017-11-12,1,8,"Tank Destroyer",8,"Rhm-B WT","win",1,"Paris",3101,0,0,1493,1,3,23103
"75",2017-11-12,2,8,"Light",9,"AMX 13 90","win",0,"Cliff",275,2282,0,1046,0,0,9017
"76",2017-11-12,3,8,"Heavy",8,"T26E5","win",1,"Redshire",1976,1706,390,1565,0,4,84399
"77",2017-11-12,4,8,"Heavy",8,"T26E5","loss",0,"Winterberg",1766,797,240,780,0,2,50959
"78",2017-11-12,5,8,"Tank Destroyer",10,"Jp Pz E100","loss",0,"Highway",1520,465,1170,507,0,2,-12832
"79",2017-11-12,6,8,"Tank Destroyer",10,"Jp Pz E100","win",0,"Siegfried Line",3957,1032,600,1370,0,4,18707
"80",2017-11-12,7,8,"Heavy",8,"T26E5","win",0,"Erlenberg",247,171,250,890,0,0,19218
"81",2017-11-12,8,8,"Heavy",9,"AMX 50 120","loss",0,"Pilsen",2066,89,240,498,0,0,2965
"82",2017-11-12,9,8,"Medium",9,"M46 Patton","loss",0,"Steppes",1714,1109,2500,612,0,1,-11620
"83",2017-11-12,10,8,"Medium",7,"T-43","win ",1,"Sacred Valley",1545,558,240,1260,0,3,28916
"84",2017-11-12,11,8,"SPG",9,"M40/M43","loss",0,"Fiery Salient",967,489,0,198,0,0,-2878
"85",2017-11-12,12,8,"Medium",10,"E50M","loss",0,"Sand River",3630,457,240,755,0,4,-3665
"86",2017-11-12,13,8,"Heavy",8,"T26E5","win",1,"Arctic Region",2031,41,1620,1202,1,2,62504
"87",2017-11-12,14,8,"Heavy",10,"T110E5","lost",0,"Swamp",1121,727,1130,266,0,0,-12261
"88",2017-11-12,15,8,"Medium",6,"Strv 74","win",0,"Fjords",917,0,0,807,0,1,11720
"89",2017-11-12,16,8,"Light",9,"AMX 13 90","lost",0,"Murovanka",509,868,0,267,0,0,1650
"90",2017-11-12,17,8,"Medium",8,"T-54 mod.1","lost",0,"Overlord",504,62,0,225,0,0,11543
"91",2017-11-12,18,8,"Heavy",6,"KV-2","win",1,"Redshire",917,453,150,909,0,1,16949
"92",2017-11-12,19,8,"Medium",10,"M48 Patton","win",0,"Pilsen",1595,0,440,936,0,1,694
"93",2017-11-12,20,8,"Heavy",10,"T110E5","win",1,"Tundra",2795,34,950,1169,5,4,6629
"94",2017-11-12,21,8,"Heavy",10,"T110E5","win",1,"Paris",2139,2426,780,1436,12,1,15404
"95",2017-11-12,22,8,"Heavy",10,"T110E5","win",1,"Mines",1668,0,800,341,0,0,24702
